,EdLevel,Country,YearsCodePro,Salary
24702,Bachelor’s degree,India,5.0,26527.0
24712,Master’s degree,Poland,12.0,47076.0
24713,Bachelor’s degree,United Kingdom of Great Britain and Northern Ireland,7.0,64630.0
24715,Master’s degree,Italy,28.0,153499.0
24721,Bachelor’s degree,Brazil,6.0,54972.0
24722,Post grad,Netherlands,15.0,70264.0
24724,Bachelor’s degree,Germany,12.0,81074.0
24731,Bachelor’s degree,Canada,1.0,60505.0
24734,Master’s degree,Russian Federation,2.0,31455.0
24735,Master’s degree,Germany,24.0,91883.0
24736,Less than a Bachelors,United Kingdom of Great Britain and Northern Ireland,5.0,82726.0
24741,Less than a Bachelors,Germany,2.0,36324.0
24744,Master’s degree,Turkey,5.0,25644.0
24750,Less than a Bachelors,Germany,1.0,32424.0
24754,Less than a Bachelors,Italy,2.0,20760.0
24758,Bachelor’s degree,India,10.0,33508.0
24759,Master’s degree,Switzerland,5.0,121979.0
24763,Less than a Bachelors,United Kingdom of Great Britain and Northern Ireland,47.0,142185.0
24770,Less than a Bachelors,Brazil,14.0,30240.0
24771,Bachelor’s degree,United Kingdom of Great Britain and Northern Ireland,32.0,64630.0
24772,Bachelor’s degree,India,3.0,16754.0
24773,Post grad,Italy,12.0,23352.0
24774,Post grad,Sweden,1.0,45408.0
24775,Master’s degree,Spain,8.0,43239.0
24782,Post grad,United Kingdom of Great Britain and Northern Ireland,6.0,47826.0
24785,Bachelor’s degree,India,15.0,60035.0
24789,Master’s degree,Sweden,2.0,35412.0
24790,Bachelor’s degree,Italy,4.0,37834.0
24791,Bachelor’s degree,India,8.0,40489.0
24793,Master’s degree,India,22.0,16754.0
24794,Bachelor’s degree,Spain,3.0,38915.0
24808,Bachelor’s degree,Germany,4.0,61416.0
24809,Master’s degree,Turkey,10.0,17748.0
24815,Post grad,Spain,4.0,25944.0
24816,Bachelor’s degree,Italy,6.0,27504.0
24820,Less than a Bachelors,United Kingdom of Great Britain and Northern Ireland,21.0,76263.0
24824,Less than a Bachelors,United States of America,15.0,170000.0
24827,Bachelor’s degree,United Kingdom of Great Britain and Northern Ireland,6.0,77556.0
24828,Bachelor’s degree,Canada,19.0,105884.0
24841,Bachelor’s degree,India,2.0,13962.0
24844,Bachelor’s degree,India,10.0,15084.0
24846,Master’s degree,United Kingdom of Great Britain and Northern Ireland,9.0,64630.0
24853,Bachelor’s degree,Canada,5.0,113447.0
24860,Bachelor’s degree,Netherlands,10.0,53184.0
24861,Master’s degree,United States of America,3.0,50000.0
24862,Master’s degree,Poland,3.0,30372.0
24867,Bachelor’s degree,United Kingdom of Great Britain and Northern Ireland,4.0,37224.0
24872,Less than a Bachelors,United Kingdom of Great Britain and Northern Ireland,15.0,32315.0
24877,Master’s degree,Poland,11.0,51636.0
24888,Bachelor’s degree,Russian Federation,7.0,71712.0
24890,Bachelor’s degree,Germany,6.0,64859.0
24896,Less than a Bachelors,Sweden,2.0,49092.0
24897,Master’s degree,Italy,20.0,129718.0
24898,Bachelor’s degree,United Kingdom of Great Britain and Northern Ireland,1.0,31022.0
24900,Post grad,Poland,15.0,45564.0
24903,Less than a Bachelors,Switzerland,5.0,85893.0
24906,Bachelor’s degree,United States of America,1.0,50000.0
24909,Bachelor’s degree,Brazil,4.0,21996.0
24912,Master’s degree,Poland,7.0,12912.0
24913,Master’s degree,Germany,20.0,118908.0
24914,Less than a Bachelors,Spain,3.0,27025.0
24916,Master’s degree,France,8.0,33510.0
24917,Bachelor’s degree,India,13.0,13404.0
24921,Master’s degree,United States of America,12.0,80000.0
24925,Master’s degree,Germany,5.0,70264.0
24927,Less than a Bachelors,Netherlands,10.0,43289.0
24935,Bachelor’s degree,Sweden,2.0,40872.0
24942,Post grad,Russian Federation,16.0,57756.0
24943,Master’s degree,Brazil,9.0,32988.0
24949,Post grad,Germany,11.0,98369.0
24954,Less than a Bachelors,Germany,10.0,46482.0
24956,Bachelor’s degree,India,10.0,60035.0
24962,Bachelor’s degree,Sweden,23.0,67500.0
24964,Bachelor’s degree,India,5.0,10896.0
24965,Post grad,India,8.0,12147.0
24966,Less than a Bachelors,Russian Federation,12.0,37752.0
24969,Post grad,Russian Federation,6.0,54732.0
24975,Bachelor’s degree,Poland,2.0,69600.0
24984,Bachelor’s degree,India,7.0,34904.0
24986,Master’s degree,Germany,4.0,75669.0
24996,Bachelor’s degree,United Kingdom of Great Britain and Northern Ireland,8.0,93067.0
24999,Bachelor’s degree,India,2.0,11724.0
25000,Bachelor’s degree,India,4.0,10056.0
25007,Bachelor’s degree,United States of America,4.0,95900.0
25009,Bachelor’s degree,Norway,1.0,42732.0
25011,Master’s degree,India,4.0,29320.0
25013,Master’s degree,France,8.0,41508.0
25014,Less than a Bachelors,Netherlands,3.0,36972.0
25015,Bachelor’s degree,United States of America,5.0,85000.0
25030,Master’s degree,Switzerland,4.0,101649.0
25042,Master’s degree,Germany,20.0,129718.0
25044,Master’s degree,Russian Federation,13.0,45300.0
25048,Bachelor’s degree,United Kingdom of Great Britain and Northern Ireland,8.0,58167.0
25049,Bachelor’s degree,Germany,11.0,83236.0
25050,Bachelor’s degree,Brazil,3.0,16488.0
25051,Bachelor’s degree,United States of America,7.0,93000.0
25055,Bachelor’s degree,Switzerland,0.5,67092.0
25059,Master’s degree,Spain,3.0,31348.0
25065,Master’s degree,Norway,5.0,66895.0
25072,Post grad,Spain,20.0,38916.0
25074,Bachelor’s degree,Germany,0.5,46044.0
25076,Less than a Bachelors,Israel,5.0,70044.0
25085,Bachelor’s degree,Netherlands,10.0,51888.0
25088,Master’s degree,United Kingdom of Great Britain and Northern Ireland,2.0,71093.0
25091,Bachelor’s degree,United States of America,3.0,96000.0
25092,Master’s degree,Germany,18.0,75669.0
25097,Bachelor’s degree,United States of America,28.0,150000.0
25100,Less than a Bachelors,Spain,19.0,28536.0
25101,Bachelor’s degree,India,3.0,10056.0
25103,Less than a Bachelors,Turkey,2.0,27612.0
25105,Less than a Bachelors,Switzerland,1.0,55907.0
25106,Bachelor’s degree,Canada,7.0,64287.0
25107,Master’s degree,Russian Federation,4.0,18876.0
25108,Master’s degree,United States of America,14.0,106000.0
25110,Less than a Bachelors,Sweden,3.0,38052.0
25114,Less than a Bachelors,Germany,5.0,64859.0
25116,Bachelor’s degree,United States of America,25.0,156000.0
25117,Bachelor’s degree,United Kingdom of Great Britain and Northern Ireland,4.0,50411.0
25119,Less than a Bachelors,United Kingdom of Great Britain and Northern Ireland,3.0,41363.0
25120,Post grad,Spain,5.0,26484.0
25132,Master’s degree,Poland,4.0,27036.0
25133,Master’s degree,India,22.0,41880.0
25134,Bachelor’s degree,India,4.0,33508.0
25135,Master’s degree,India,5.0,27923.0
25142,Master’s degree,Germany,12.0,64859.0
25150,Less than a Bachelors,Israel,3.0,45528.0
25151,Master’s degree,India,7.0,18150.0
25152,Master’s degree,Germany,5.0,59454.0
25155,Bachelor’s degree,Brazil,12.0,13740.0
25162,Bachelor’s degree,United States of America,1.0,55000.0
25163,Master’s degree,Brazil,4.0,16488.0
25164,Bachelor’s degree,Brazil,6.0,21996.0
25169,Bachelor’s degree,Germany,3.0,48000.0
25177,Master’s degree,Germany,5.0,108098.0
25181,Less than a Bachelors,United Kingdom of Great Britain and Northern Ireland,2.0,24816.0
25183,Less than a Bachelors,Brazil,5.0,14844.0
25190,Master’s degree,Poland,2.0,22776.0
25193,Master’s degree,Spain,10.0,36324.0
25196,Master’s degree,Spain,1.0,44320.0
25200,Less than a Bachelors,United States of America,10.0,85000.0
25203,Bachelor’s degree,United Kingdom of Great Britain and Northern Ireland,6.0,90482.0
25205,Bachelor’s degree,Russian Federation,0.5,12264.0
25206,Bachelor’s degree,Israel,3.0,105072.0
25208,Post grad,United Kingdom of Great Britain and Northern Ireland,16.0,41363.0
25211,Post grad,Germany,4.0,75669.0
25214,Less than a Bachelors,Australia,0.5,36745.0
25216,Less than a Bachelors,Germany,0.5,31656.0
25217,Less than a Bachelors,Italy,15.0,64860.0
25218,Bachelor’s degree,Italy,6.0,27240.0
25219,Bachelor’s degree,Brazil,25.0,32988.0
25221,Master’s degree,Netherlands,5.0,48000.0
25222,Master’s degree,Germany,5.0,64859.0
25223,Less than a Bachelors,Spain,0.5,14268.0
25226,Less than a Bachelors,Germany,5.0,49725.0
25229,Bachelor’s degree,Sweden,1.0,42960.0
25232,Less than a Bachelors,Spain,3.0,30267.0
25234,Bachelor’s degree,United States of America,10.0,125000.0
25240,Less than a Bachelors,Brazil,11.0,23364.0
25242,Bachelor’s degree,Netherlands,12.0,81074.0
25243,Master’s degree,Norway,4.0,67435.0
25245,Bachelor’s degree,United States of America,17.0,120000.0
25251,Bachelor’s degree,United Kingdom of Great Britain and Northern Ireland,2.0,45241.0
25254,Bachelor’s degree,India,2.0,12433.0
25256,Less than a Bachelors,United Kingdom of Great Britain and Northern Ireland,11.0,71093.0
25258,Master’s degree,India,7.0,75396.0
25264,Bachelor’s degree,Brazil,2.0,13744.0
25270,Master’s degree,Germany,5.0,75669.0
25271,Bachelor’s degree,United States of America,20.0,140000.0
25272,Bachelor’s degree,Italy,8.0,38915.0
25282,Master’s degree,Germany,7.0,72426.0
25284,Less than a Bachelors,Russian Federation,6.0,52848.0
25285,Less than a Bachelors,Germany,6.0,58368.0
25290,Bachelor’s degree,Australia,18.0,80000.0
25291,Bachelor’s degree,Germany,3.0,48644.0
25292,Master’s degree,Spain,21.0,35672.0
25295,Master’s degree,France,1.0,31128.0
25300,Post grad,Russian Federation,20.0,18876.0
25302,Bachelor’s degree,Turkey,21.0,35508.0
25312,Less than a Bachelors,United States of America,34.0,115000.0
25313,Bachelor’s degree,Spain,12.0,22704.0
25315,Bachelor’s degree,Spain,6.0,97288.0
25325,Bachelor’s degree,India,6.0,39093.0
25327,Bachelor’s degree,Germany,1.0,55670.0
25329,Less than a Bachelors,United Kingdom of Great Britain and Northern Ireland,8.0,71093.0
25340,Master’s degree,Brazil,5.0,21996.0
25341,Bachelor’s degree,India,8.0,25131.0
25342,Bachelor’s degree,Israel,24.0,180000.0
25346,Less than a Bachelors,Australia,14.0,93533.0
25347,Post grad,Canada,0.5,64287.0
25350,Bachelor’s degree,Turkey,21.0,59172.0
25351,Master’s degree,Germany,3.0,36324.0
25352,Less than a Bachelors,United States of America,12.0,150000.0
25363,Bachelor’s degree,United Kingdom of Great Britain and Northern Ireland,22.0,95006.0
25369,Master’s degree,Poland,1.0,15192.0
25373,Bachelor’s degree,Sweden,2.0,40910.0
25378,Master’s degree,Germany,9.0,49452.0
25381,Bachelor’s degree,Norway,0.5,53948.0
25384,Bachelor’s degree,India,3.0,20943.0
25387,Bachelor’s degree,United Kingdom of Great Britain and Northern Ireland,2.0,42656.0
25389,Master’s degree,Canada,9.0,121010.0
25390,Post grad,Spain,12.0,54049.0
25394,Master’s degree,France,4.0,46482.0
25400,Master’s degree,Germany,6.0,46704.0
25401,Master’s degree,Italy,27.0,86478.0
25402,Master’s degree,India,1.0,16752.0
25404,Post grad,Italy,9.0,37834.0
25405,Master’s degree,Spain,5.0,37834.0
25408,Master’s degree,United States of America,21.0,65000.0
25409,Less than a Bachelors,Germany,2.0,10380.0
25412,Master’s degree,Netherlands,21.0,77832.0
25414,Post grad,Russian Federation,15.0,37752.0
25419,Bachelor’s degree,United States of America,20.0,105000.0
25421,Master’s degree,India,11.0,18150.0
25422,Post grad,Germany,7.0,56211.0
25424,Less than a Bachelors,Brazil,25.0,17868.0
25426,Bachelor’s degree,Netherlands,17.0,51888.0
25427,Bachelor’s degree,Australia,25.0,125250.0
25429,Less than a Bachelors,United States of America,11.0,120000.0
25431,Less than a Bachelors,Germany,4.0,45396.0
25432,Less than a Bachelors,Netherlands,20.0,59454.0
25433,Bachelor’s degree,Netherlands,1.0,40680.0
25436,Master’s degree,Brazil,19.0,96209.0
25437,Bachelor’s degree,Spain,5.0,44320.0
25440,Less than a Bachelors,Canada,7.0,56723.0
25444,Bachelor’s degree,India,2.0,12566.0
25445,Bachelor’s degree,Australia,11.0,63469.0
25447,Less than a Bachelors,United States of America,0.5,120000.0
25464,Less than a Bachelors,Germany,4.0,37620.0
25466,Bachelor’s degree,United Kingdom of Great Britain and Northern Ireland,10.0,43948.0
25473,Master’s degree,Netherlands,5.0,70264.0
25474,Master’s degree,Netherlands,20.0,37620.0
25475,Bachelor’s degree,United States of America,9.0,180000.0
25477,Master’s degree,India,4.0,10056.0
25478,Less than a Bachelors,United States of America,9.0,101010.0
25479,Less than a Bachelors,Germany,5.0,45396.0
25482,Master’s degree,Netherlands,6.0,90802.0
25487,Bachelor’s degree,India,2.0,10052.0
25491,Master’s degree,Poland,2.0,12144.0
25494,Post grad,Canada,3.0,68068.0
25498,Bachelor’s degree,Germany,2.0,44536.0
25505,Bachelor’s degree,India,4.0,13962.0
25507,Bachelor’s degree,India,3.0,11169.0
25511,Master’s degree,Germany,9.0,64859.0
25513,Less than a Bachelors,France,32.0,45396.0
25516,Bachelor’s degree,India,9.0,57243.0
25517,Master’s degree,Australia,2.0,43426.0
25523,Bachelor’s degree,Germany,3.0,38915.0
25529,Bachelor’s degree,Germany,6.0,86478.0
25536,Bachelor’s degree,Italy,18.0,54049.0
25538,Less than a Bachelors,Sweden,0.5,42348.0
25539,Post grad,France,6.0,32424.0
25540,Less than a Bachelors,Poland,8.0,65604.0
25541,Master’s degree,Germany,5.0,59454.0
25547,Bachelor’s degree,United Kingdom of Great Britain and Northern Ireland,4.0,60752.0
25554,Bachelor’s degree,Germany,4.0,56211.0
25556,Bachelor’s degree,United States of America,8.0,88000.0
25557,Less than a Bachelors,United States of America,15.0,120000.0
25559,Bachelor’s degree,United States of America,8.0,94000.0
25560,Bachelor’s degree,Netherlands,2.0,36753.0
25562,Master’s degree,Norway,21.0,97645.0
25563,Bachelor’s degree,Italy,5.0,20760.0
25568,Less than a Bachelors,Switzerland,4.0,54888.0
25571,Bachelor’s degree,United Kingdom of Great Britain and Northern Ireland,4.0,38778.0
25574,Less than a Bachelors,Russian Federation,21.0,23592.0
25576,Bachelor’s degree,India,8.0,12566.0
25578,Bachelor’s degree,Australia,30.0,26724.0
25579,Master’s degree,Italy,5.0,18156.0
25583,Bachelor’s degree,Brazil,6.0,31608.0
25587,Less than a Bachelors,Germany,1.0,36324.0
25594,Bachelor’s degree,Germany,3.0,75669.0
25597,Master’s degree,Germany,10.0,62240.0
25598,Master’s degree,United States of America,22.0,138000.0
25599,Bachelor’s degree,Canada,26.0,68068.0
25601,Master’s degree,Spain,8.0,20760.0
25602,Master’s degree,Russian Federation,5.0,33972.0
25605,Bachelor’s degree,Germany,5.0,81074.0
25607,Less than a Bachelors,Canada,13.0,90758.0
25608,Bachelor’s degree,India,7.0,21780.0
25609,Less than a Bachelors,Italy,5.0,27025.0
25611,Bachelor’s degree,Canada,38.0,102102.0
25613,Master’s degree,Netherlands,15.0,70264.0
25618,Post grad,Spain,5.0,43239.0
25620,Bachelor’s degree,United Kingdom of Great Britain and Northern Ireland,25.0,162867.0
25621,Bachelor’s degree,United States of America,12.0,76000.0
25627,Bachelor’s degree,Canada,20.0,90758.0
25631,Bachelor’s degree,Italy,2.0,37834.0
25633,Bachelor’s degree,United States of America,42.0,125000.0
25636,Master’s degree,India,7.0,15358.0
25640,Bachelor’s degree,Russian Federation,2.0,56616.0
25642,Less than a Bachelors,Italy,10.0,46482.0
25644,Master’s degree,United States of America,11.0,130000.0
25646,Master’s degree,France,10.0,97288.0
25651,Master’s degree,Switzerland,14.0,121979.0
25652,Less than a Bachelors,Italy,17.0,38915.0
25654,Post grad,United States of America,25.0,179858.0
25658,Less than a Bachelors,Canada,8.0,80925.0
25659,Bachelor’s degree,Spain,11.0,35672.0
25660,Bachelor’s degree,United States of America,7.0,150000.0
25669,Less than a Bachelors,United States of America,10.0,125000.0
25672,Master’s degree,United States of America,6.0,175000.0
25674,Bachelor’s degree,Germany,7.0,71885.0
25678,Bachelor’s degree,United Kingdom of Great Britain and Northern Ireland,10.0,90482.0
25692,Less than a Bachelors,Netherlands,14.0,50806.0
25694,Bachelor’s degree,United States of America,13.0,105000.0
25695,Master’s degree,Spain,2.0,35709.0
25696,Master’s degree,Germany,17.0,97288.0
25700,Master’s degree,Brazil,12.0,71472.0
25702,Master’s degree,Canada,20.0,132355.0
25703,Bachelor’s degree,Germany,12.0,70264.0
25705,Less than a Bachelors,Canada,6.0,64287.0
25706,Bachelor’s degree,Netherlands,21.0,69183.0
25707,Master’s degree,Germany,10.0,74588.0
25708,Post grad,France,6.0,56211.0
25711,Less than a Bachelors,Spain,2.0,15134.0
25712,Bachelor’s degree,India,4.0,33504.0
25716,Master’s degree,Turkey,8.0,49308.0
25719,Bachelor’s degree,France,11.0,97284.0
25722,Master’s degree,Spain,10.0,54049.0
25723,Master’s degree,Spain,11.0,51347.0
25727,Bachelor’s degree,United States of America,3.0,75000.0
25731,Bachelor’s degree,United Kingdom of Great Britain and Northern Ireland,8.0,51702.0
25732,Master’s degree,Germany,4.0,48644.0
25733,Less than a Bachelors,United Kingdom of Great Britain and Northern Ireland,16.0,52996.0
25740,Bachelor’s degree,United States of America,2.0,56000.0
25742,Less than a Bachelors,France,3.0,48644.0
25745,Master’s degree,Russian Federation,6.0,58978.0
25746,Bachelor’s degree,Germany,11.0,89721.0
25748,Master’s degree,Canada,7.0,52942.0
25749,Bachelor’s degree,Netherlands,3.0,34591.0
25750,Less than a Bachelors,Sweden,6.0,68724.0
25751,Post grad,United Kingdom of Great Britain and Northern Ireland,4.0,40070.0
25757,Less than a Bachelors,Germany,13.0,82155.0
25761,Master’s degree,Russian Federation,21.0,28308.0
25763,Master’s degree,India,4.0,12566.0
25772,Less than a Bachelors,Turkey,20.0,21696.0
25777,Master’s degree,Sweden,27.0,78792.0
25781,Bachelor’s degree,United States of America,21.0,83500.0
25785,Less than a Bachelors,Switzerland,3.0,14028.0
25792,Master’s degree,Sweden,0.5,41112.0
25796,Bachelor’s degree,Brazil,7.0,30000.0
25799,Bachelor’s degree,United States of America,4.0,198000.0
25803,Master’s degree,Germany,2.0,81074.0
25814,Less than a Bachelors,Switzerland,10.0,101649.0
25816,Less than a Bachelors,Brazil,5.0,54972.0
25817,Less than a Bachelors,Switzerland,14.0,101649.0
25819,Post grad,Spain,4.0,29186.0
25825,Bachelor’s degree,Turkey,4.0,29580.0
25829,Master’s degree,United States of America,3.0,110000.0
25835,Master’s degree,Poland,14.0,56194.0
25837,Master’s degree,Russian Federation,3.0,11508.0
25839,Master’s degree,France,3.0,43239.0
25840,Bachelor’s degree,Poland,5.0,82008.0
25841,Master’s degree,France,6.0,24384.0
25846,Bachelor’s degree,Turkey,3.0,24660.0
25848,Bachelor’s degree,United States of America,10.0,180000.0
25849,Bachelor’s degree,Poland,5.0,42528.0
25851,Bachelor’s degree,Norway,23.0,105737.0
25854,Master’s degree,France,1.0,40537.0
25855,Bachelor’s degree,United States of America,6.0,72000.0
25859,Bachelor’s degree,United States of America,11.0,125000.0
25860,Less than a Bachelors,Italy,5.0,20760.0
25865,Master’s degree,Germany,5.0,62268.0
25868,Bachelor’s degree,United Kingdom of Great Britain and Northern Ireland,23.0,71093.0
25869,Bachelor’s degree,Canada,3.0,86976.0
25871,Bachelor’s degree,Canada,13.0,113447.0
25874,Master’s degree,Italy,0.5,16212.0
25879,Master’s degree,France,11.0,91883.0
25880,Bachelor’s degree,United States of America,5.0,110000.0
25882,Bachelor’s degree,India,4.0,32112.0
25886,Bachelor’s degree,United States of America,0.5,100000.0
25891,Bachelor’s degree,United States of America,7.0,60000.0
25892,Less than a Bachelors,Spain,6.0,18552.0
25894,Less than a Bachelors,United States of America,0.5,150000.0
25896,Bachelor’s degree,India,9.0,22620.0
25900,Bachelor’s degree,India,10.0,27923.0
25903,Master’s degree,France,9.0,31128.0
25904,Bachelor’s degree,Switzerland,28.0,132143.0
25909,Bachelor’s degree,France,7.0,46482.0
25910,Post grad,United States of America,8.0,120000.0
25912,Bachelor’s degree,Brazil,11.0,24744.0
25913,Bachelor’s degree,Germany,4.0,64859.0
25917,Less than a Bachelors,United States of America,3.0,115000.0
25920,Less than a Bachelors,Italy,10.0,47563.0
25923,Bachelor’s degree,United States of America,0.5,60000.0
25924,Bachelor’s degree,Brazil,8.0,17112.0
25927,Bachelor’s degree,Netherlands,13.0,60535.0
25928,Master’s degree,United Kingdom of Great Britain and Northern Ireland,7.0,59459.0
25932,Master’s degree,Spain,18.0,70264.0
25935,Master’s degree,Spain,13.0,48644.0
25936,Less than a Bachelors,Canada,12.0,94539.0
25939,Bachelor’s degree,Switzerland,16.0,109776.0
25940,Master’s degree,Germany,5.0,69183.0
25941,Master’s degree,Turkey,7.0,30576.0
25943,Less than a Bachelors,United States of America,0.5,38400.0
25947,Less than a Bachelors,United States of America,20.0,100000.0
25948,Bachelor’s degree,United Kingdom of Great Britain and Northern Ireland,5.0,41363.0
25949,Bachelor’s degree,United Kingdom of Great Britain and Northern Ireland,8.0,77504.0
25953,Less than a Bachelors,United States of America,5.0,75000.0
25954,Bachelor’s degree,United States of America,1.0,65000.0
25955,Post grad,Germany,20.0,72426.0
25961,Bachelor’s degree,United States of America,9.0,150000.0
25969,Master’s degree,Italy,6.0,12972.0
25970,Bachelor’s degree,United Kingdom of Great Britain and Northern Ireland,18.0,42656.0
25972,Master’s degree,Switzerland,5.0,79284.0
25974,Less than a Bachelors,Poland,2.0,36444.0
25976,Bachelor’s degree,Germany,5.0,99991.0
25977,Master’s degree,United States of America,40.0,160000.0
25980,Master’s degree,United States of America,11.0,110000.0
25981,Master’s degree,France,6.0,42156.0
25984,Less than a Bachelors,United Kingdom of Great Britain and Northern Ireland,17.0,108061.0
25992,Master’s degree,India,3.0,16754.0
25995,Less than a Bachelors,Brazil,4.0,17868.0
25997,Less than a Bachelors,Germany,16.0,62268.0
25999,Bachelor’s degree,Sweden,3.0,47868.0
26000,Bachelor’s degree,Germany,14.0,77831.0
26001,Post grad,United States of America,20.0,50000.0
26010,Bachelor’s degree,United States of America,3.0,114400.0
26012,Bachelor’s degree,United States of America,9.0,99000.0
26018,Bachelor’s degree,United Kingdom of Great Britain and Northern Ireland,26.0,55362.0
26020,Bachelor’s degree,United States of America,6.0,135000.0
26026,Bachelor’s degree,Germany,4.0,54480.0
26028,Less than a Bachelors,Germany,17.0,41508.0
26029,Bachelor’s degree,United States of America,8.0,85000.0
26035,Master’s degree,Switzerland,15.0,127061.0
26036,Master’s degree,United Kingdom of Great Britain and Northern Ireland,5.0,67732.0
26040,Master’s degree,Italy,6.0,47563.0
26041,Less than a Bachelors,Germany,1.0,11676.0
26046,Master’s degree,Israel,5.0,85800.0
26047,Master’s degree,India,7.0,24433.0
26061,Master’s degree,Brazil,14.0,38942.0
26067,Master’s degree,Germany,3.0,53184.0
26072,Bachelor’s degree,United States of America,6.0,137000.0
26078,Bachelor’s degree,United States of America,6.0,105000.0
26083,Master’s degree,Spain,16.0,70264.0
26084,Bachelor’s degree,United States of America,6.0,85000.0
26086,Bachelor’s degree,Brazil,10.0,24744.0
26087,Bachelor’s degree,Brazil,20.0,30240.0
26088,Bachelor’s degree,United Kingdom of Great Britain and Northern Ireland,16.0,142185.0
26095,Master’s degree,Italy,1.0,25627.0
26098,Bachelor’s degree,United States of America,20.0,160000.0
26100,Bachelor’s degree,United States of America,2.0,42651.0
26101,Bachelor’s degree,United States of America,5.0,88000.0
26103,Master’s degree,France,3.0,41077.0
26107,Less than a Bachelors,United States of America,16.0,190000.0
26108,Bachelor’s degree,United States of America,27.0,110000.0
26110,Master’s degree,Germany,6.0,62580.0
26112,Master’s degree,France,0.5,30267.0
26115,Bachelor’s degree,Canada,7.0,41597.0
26117,Less than a Bachelors,United States of America,38.0,120000.0
26119,Bachelor’s degree,Turkey,4.0,17748.0
26120,Master’s degree,United States of America,10.0,167000.0
26122,Bachelor’s degree,India,1.0,10056.0
26129,Master’s degree,Russian Federation,8.0,64164.0
26132,Master’s degree,Italy,0.5,32429.0
26133,Post grad,Brazil,3.0,20616.0
26134,Master’s degree,United States of America,1.0,65000.0
26135,Master’s degree,Brazil,12.0,59558.0
26137,Bachelor’s degree,United Kingdom of Great Britain and Northern Ireland,20.0,177750.0
26138,Bachelor’s degree,India,2.0,13962.0
26147,Bachelor’s degree,United States of America,7.0,15900.0
26148,Bachelor’s degree,Germany,10.0,61616.0
26149,Bachelor’s degree,Sweden,7.0,51552.0
26150,Less than a Bachelors,United States of America,7.0,133250.0
26151,Less than a Bachelors,Sweden,14.0,92052.0
26158,Master’s degree,India,2.0,12564.0
26159,Less than a Bachelors,Germany,10.0,64860.0
26161,Bachelor’s degree,Canada,8.0,68068.0
26163,Less than a Bachelors,United States of America,18.0,170000.0
26165,Bachelor’s degree,Germany,11.0,78912.0
26169,Bachelor’s degree,United States of America,2.0,60000.0
26174,Master’s degree,United States of America,2.0,85000.0
26175,Bachelor’s degree,United States of America,3.0,70000.0
26176,Bachelor’s degree,Germany,19.0,64859.0
26177,Bachelor’s degree,United Kingdom of Great Britain and Northern Ireland,5.0,82726.0
26179,Less than a Bachelors,Switzerland,16.0,101649.0
26181,Bachelor’s degree,Poland,4.0,18731.0
26186,Less than a Bachelors,Germany,8.0,56211.0
26188,Bachelor’s degree,United States of America,1.0,60000.0
26190,Less than a Bachelors,Germany,2.0,45396.0
26193,Bachelor’s degree,United States of America,7.0,85000.0
26195,Master’s degree,France,7.0,33732.0
26198,Post grad,Germany,10.0,48644.0
26199,Post grad,Germany,5.0,28536.0
26200,Bachelor’s degree,India,8.0,18521.0
26203,Master’s degree,Netherlands,5.0,59454.0
26204,Bachelor’s degree,Germany,1.0,37834.0
26206,Post grad,Poland,15.0,60744.0
26207,Bachelor’s degree,United States of America,30.0,80000.0
26208,Master’s degree,Sweden,22.0,90816.0
26213,Bachelor’s degree,Netherlands,29.0,58368.0
26214,Bachelor’s degree,United States of America,10.0,150000.0
26218,Bachelor’s degree,Netherlands,4.0,32424.0
26223,Less than a Bachelors,United States of America,3.0,130000.0
26224,Master’s degree,United States of America,35.0,111000.0
26227,Master’s degree,France,15.0,71345.0
26230,Bachelor’s degree,United States of America,10.0,63250.0
26233,Bachelor’s degree,France,3.0,32429.0
26237,Bachelor’s degree,Netherlands,11.0,78912.0
26239,Master’s degree,Canada,3.0,102102.0
26242,Master’s degree,Switzerland,15.0,111814.0
26244,Bachelor’s degree,United States of America,0.5,80000.0
26246,Master’s degree,Spain,0.5,32429.0
26247,Less than a Bachelors,Canada,22.0,94539.0
26252,Master’s degree,Sweden,36.0,73644.0
26255,Bachelor’s degree,India,6.0,19157.0
26256,Master’s degree,Poland,10.0,45564.0
26260,Post grad,Italy,6.0,49725.0
26263,Less than a Bachelors,Netherlands,10.0,33732.0
26268,Master’s degree,United States of America,16.0,150000.0
26269,Less than a Bachelors,United States of America,34.0,100000.0
26270,Bachelor’s degree,Brazil,4.0,24744.0
26273,Master’s degree,Netherlands,3.0,27240.0
26274,Master’s degree,United States of America,13.0,61800.0
26277,Less than a Bachelors,United Kingdom of Great Britain and Northern Ireland,5.0,49119.0
26279,Bachelor’s degree,Netherlands,4.0,51888.0
26284,Less than a Bachelors,Germany,0.5,51888.0
26286,Bachelor’s degree,Sweden,5.0,51552.0
26287,Bachelor’s degree,United States of America,2.0,80000.0
26292,Bachelor’s degree,Norway,7.0,75527.0
26293,Bachelor’s degree,United Kingdom of Great Britain and Northern Ireland,7.0,78202.0
26294,Bachelor’s degree,United States of America,2.0,86900.0
26295,Bachelor’s degree,Germany,5.0,59454.0
26307,Bachelor’s degree,United States of America,29.0,158000.0
26309,Less than a Bachelors,United Kingdom of Great Britain and Northern Ireland,3.0,43948.0
26312,Bachelor’s degree,Canada,1.0,46135.0
26317,Master’s degree,Israel,15.0,129588.0
